file_name,Dataset,PDB_ID,Antigen_name,Source,Model,Mutation,Type,Input_Type,Spearman,AUC,MCC,NDCG,AP
AbDesign_1YY9_ACD__nferruz__ProtGPT2__c445f80b__mutant__fp16__focus0__wt__,AbDesign,1YY9,ACD__nferruz__ProtGPT2__c445f80b__mutant__fp16_,,ProtGPT2,,0,wt,0.0859972021140367,0.4824561403508771,-0.1578947368421052,0.2357279304321638,0.1916666666666666
AbDesign_5GGS_ABZ__nferruz__ProtGPT2__c445f80b__mutant__fp16__focus0__wt__,AbDesign,5GGS,ABZ__nferruz__ProtGPT2__c445f80b__mutant__fp16_,,ProtGPT2,,0,wt,0.2621873132416972,0.5398550724637681,0.4347826086956521,0.8869208408600521,0.4151405480891543
AbDesign_1JRH_HIL__nferruz__ProtGPT2__c445f80b__mutant__fp16__focus0__wt__,AbDesign,1JRH,HIL__nferruz__ProtGPT2__c445f80b__mutant__fp16_,,ProtGPT2,,0,wt,0.2175387160076278,0.6470588235294117,-0.140028008402801,0.4559275038737186,0.2483164983164983
AbDesign_3BDY_HLV__nferruz__ProtGPT2__c445f80b__mutant__fp16__focus0__wt__,AbDesign,3BDY,HLV__nferruz__ProtGPT2__c445f80b__mutant__fp16_,,ProtGPT2,,0,wt,-0.1425567421925238,0.3548387096774194,-0.1290322580645161,0.2062379681072882,0.1121191756272401
AbDesign_4I77_HLZ__nferruz__ProtGPT2__c445f80b__mutant__fp16__focus0__wt__,AbDesign,4I77,HLZ__nferruz__ProtGPT2__c445f80b__mutant__fp16_,,ProtGPT2,,0,wt,0.2926847035024817,0.5714285714285715,-0.4605661864718383,0.4,0.5861067503924646
AbDesign_6NMS_HLS__nferruz__ProtGPT2__c445f80b__mutant__fp16__focus0__wt__,AbDesign,6NMS,HLS__nferruz__ProtGPT2__c445f80b__mutant__fp16_,,ProtGPT2,,0,wt,0.1410204081632653,0.4954545454545454,-0.1136363636363636,0.4527578628357331,0.1358805445761967
AbDesign_1DQJ_ABC__nferruz__ProtGPT2__c445f80b__mutant__fp16__focus0__wt__,AbDesign,1DQJ,ABC__nferruz__ProtGPT2__c445f80b__mutant__fp16_,,ProtGPT2,,0,wt,0.0443287035072179,0.2962962962962963,-0.1980295085953348,0.606409098188902,0.1528822055137844
AbDesign_1VFB_ABC__nferruz__ProtGPT2__c445f80b__mutant__fp16__focus0__wt__,AbDesign,1VFB,ABC__nferruz__ProtGPT2__c445f80b__mutant__fp16_,,ProtGPT2,,0,wt,-0.1240719674780967,0.387409200968523,-0.1279245832763546,0.2400016024466831,0.1032383217931835
AbDesign_6XKR_HLP__nferruz__ProtGPT2__c445f80b__mutant__fp16__focus0__wt__,AbDesign,6XKR,HLP__nferruz__ProtGPT2__c445f80b__mutant__fp16_,,ProtGPT2,,0,wt,0.0701902748414376,0.4923076923076923,-0.1282051282051282,0.3785506270912445,0.1273219373219373
AbDesign_2NYY_ACD__nferruz__ProtGPT2__c445f80b__mutant__fp16__focus0__wt__,AbDesign,2NYY,ACD__nferruz__ProtGPT2__c445f80b__mutant__fp16_,,ProtGPT2,,0,wt,0.0801305652242931,0.3888888888888889,-0.1980295085953348,0.6427936440802362,0.1666666666666666
