file_name,Dataset,PDB_ID,Antigen_name,Source,Model,Mutation,Type,Input_Type,Spearman,AUC,MCC,NDCG,AP
2NYY_HL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus1,BindingGYM,2NYY,2NYY_HL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,1,wt,-0.1886801050590414,0.4600000000000001,-0.1005037815259212,0.7976476005861597,0.5611111111111111
AbDesign_1BJ1_HLW__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus1,AbDesign,1BJ1,HLW__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,1,wt,-0.0808213672942567,0.4302521008403361,-0.1596638655462184,0.9610561874472672,0.5197104019888734
AbDesign_1DQJ_ABC__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus1,AbDesign,1DQJ,ABC__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,1,wt,-0.0414868983735069,0.3909090909090909,-0.309344112444873,0.8357294072592468,0.4923672818409661
AbDesign_1JRH_HIL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus1,AbDesign,1JRH,HIL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,1,wt,0.0414001016623513,0.52,-0.2,0.8427642192249202,0.558124228712464
AbDesign_1MHP_AHL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus1,AbDesign,1MHP,AHL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,1,wt,-0.0073852199278055,0.541831543244771,0.0582249858677218,0.9465491894269455,0.6443468964931726
AbDesign_1VFB_ABC__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus1,AbDesign,1VFB,ABC__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,1,wt,0.1247377037359976,0.5500459136822773,0.3142696805273545,0.9457525198197172,0.55331088664422
AbDesign_2BDN_AHL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus1,AbDesign,2BDN,AHL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,1,wt,0.374140656558896,0.8214285714285715,0.3809523809523809,0.9333115176858952,0.8441043083900226
AbDesign_3BDY_HLV__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus1,AbDesign,3BDY,HLV__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,1,wt,0.2279503375157302,0.6274509803921569,0.1993464052287581,0.9155585000897036,0.6849709061514617
AbDesign_3BE1_AHL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus1,AbDesign,3BE1,AHL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,1,wt,-0.0898563610816834,0.53,-0.0330049180992224,0.8684019384209059,0.6389028949206967
AbDesign_3HFM_HLY__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus1,AbDesign,3HFM,HLY__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,1,wt,0.126854672741231,0.509963768115942,0.0634057971014492,0.9115594279828512,0.5465232079094214
AbDesign_3N85_AHL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus1,AbDesign,3N85,AHL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,1,wt,0.5714312110592608,0.8,0.6,0.8611079350376488,0.71
AbDesign_3NGB_GHL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus1,AbDesign,3NGB,GHL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,1,wt,0.1863053509924784,0.576923076923077,0.0556348640264186,0.9491332331878884,0.5884246114995366
AbDesign_3SE8_GHL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus1,AbDesign,3SE8,GHL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,1,wt,0.1175021563291348,0.6142857142857143,0.1714285714285714,0.8256078702309073,0.6011850913756539
