file_name,Dataset,PDB_ID,Antigen_name,Source,Model,Mutation,Type,Input_Type,Spearman,AUC,MCC,NDCG,AP
AbDesign_1JRH_HIL__westlake-repl__SaProt_35M_AF2__e129224d__wt__fp16__focus0,AbDesign,1JRH,HIL__westlake-repl__SaProt_35M_AF2__e129224d__wt__fp16_,,SaProt_35M_AF2,,0,wt,0.0459164763891532,0.5882352941176471,0.3267320196065356,0.6040290692516204,0.4662309368191721
AbDesign_2BDN_AHL__westlake-repl__SaProt_35M_AF2__e129224d__masked__fp16__focus0,AbDesign,2BDN,AHL__westlake-repl__SaProt_35M_AF2__e129224d__masked__fp16_,,SaProt_35M_AF2,,0,masked,0.0989010989010989,0.3181818181818182,-0.1818181818181818,0.3846153846153846,0.1623376623376623
AbDesign_3SE9_GHL__westlake-repl__SaProt_35M_AF2__e129224d__masked__fp16__focus0,AbDesign,3SE9,GHL__westlake-repl__SaProt_35M_AF2__e129224d__masked__fp16_,,SaProt_35M_AF2,,0,masked,0.1630183971553612,0.5797101449275363,0.2463768115942029,0.1605812728578954,0.2606837606837606
AbDesign_6NMU_HLS__westlake-repl__SaProt_35M_AF2__e129224d__wt__fp16__focus0,AbDesign,6NMU,HLS__westlake-repl__SaProt_35M_AF2__e129224d__wt__fp16_,,SaProt_35M_AF2,,0,wt,0.146454280076232,0.6190476190476191,0.3285714285714285,0.6704897320275095,0.2776494945804408
AbDesign_3NGB_GHL__westlake-repl__SaProt_35M_AF2__e129224d__masked__fp16__focus0,AbDesign,3NGB,GHL__westlake-repl__SaProt_35M_AF2__e129224d__masked__fp16_,,SaProt_35M_AF2,,0,masked,0.1808559885282867,0.4397163120567376,-0.1276595744680851,0.590450755380169,0.1156593406593406
AbDesign_3SE9_GHL__westlake-repl__SaProt_35M_AF2__e129224d__wt__fp16__focus0,AbDesign,3SE9,GHL__westlake-repl__SaProt_35M_AF2__e129224d__wt__fp16_,,SaProt_35M_AF2,,0,wt,0.0410999772489152,0.3913043478260869,-0.2192143241407067,0.5126050420168067,0.1246153846153846
AbDesign_5F9W_GHL__westlake-repl__SaProt_35M_AF2__e129224d__wt__fp16__focus0,AbDesign,5F9W,GHL__westlake-repl__SaProt_35M_AF2__e129224d__wt__fp16_,,SaProt_35M_AF2,,0,wt,0.3043878490659388,0.8647798742138365,0.2578616352201258,0.7178073394828545,0.4562604062604062
AbDesign_6MFP_GHL__westlake-repl__SaProt_35M_AF2__e129224d__wt__fp16__focus0,AbDesign,6MFP,GHL__westlake-repl__SaProt_35M_AF2__e129224d__wt__fp16_,,SaProt_35M_AF2,,0,wt,0.2733847085009338,0.5643939393939394,0.1590909090909091,0.6103977591564446,0.3555253623188406
AbDesign_7JMO_AHL__westlake-repl__SaProt_35M_AF2__e129224d__masked__fp16__focus0,AbDesign,7JMO,AHL__westlake-repl__SaProt_35M_AF2__e129224d__masked__fp16_,,SaProt_35M_AF2,,0,masked,0.4006557729437999,0.7447089947089947,0.0317460317460317,0.6441453388565462,0.2288854003139717
AbDesign_3HFM_HLY__westlake-repl__SaProt_35M_AF2__e129224d__masked__fp16__focus0,AbDesign,3HFM,HLY__westlake-repl__SaProt_35M_AF2__e129224d__masked__fp16_,,SaProt_35M_AF2,,0,masked,0.2632538147037584,0.7999999999999999,0.2815806279191758,0.5731917143474434,0.3052631578947368
AbDesign_3SE8_GHL__westlake-repl__SaProt_35M_AF2__e129224d__wt__fp16__focus0,AbDesign,3SE8,GHL__westlake-repl__SaProt_35M_AF2__e129224d__wt__fp16_,,SaProt_35M_AF2,,0,wt,0.1474876450182919,0.7051282051282051,0.2970140370712101,0.6487402408041761,0.2166666666666666
