file_name,Dataset,PDB_ID,Antigen_name,Source,Model,Mutation,Type,Input_Type,Spearman,AUC,MCC,NDCG,AP
1DQJ_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,BindingGYM,1DQJ,1DQJ_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,-0.2443340089716124,0.6916666666666667,0.5034965460952284,0.6604239519986219,0.3859649122807017
1JRH_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,BindingGYM,1JRH,1JRH_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,-0.021949086598109,0.5,-0.1176470588235294,0.0526315789473684,0.1483516483516483
1N8Z_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,BindingGYM,1N8Z,1N8Z_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,-0.4545454545454545,0.5555555555555556,-0.1111111111111111,0.5,0.2
3NGB_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,BindingGYM,3NGB,3NGB_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,0.2305630947470575,0.5384615384615384,-0.1538461538461538,0.3333333333333333,0.1944444444444444
3SE8_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,BindingGYM,3SE8,3SE8_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,0.2082934192217059,0.4933333333333333,-0.12,0.4795120795221953,0.1322751322751322
4I77_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,BindingGYM,4I77,4I77_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,0.4030917208171136,0.6388888888888888,0.0,1.0,0.6906084656084656
AbDesign_6NMS_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,AbDesign,6NMS,6NMS_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,-0.4210811984368215,0.4837209302325581,-0.1162790697674418,0.37781044915035,0.121002390741919
AbDesign_6NMU_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,AbDesign,6NMU,6NMU_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,-0.2613709952212493,0.4609756097560976,0.1024390243902439,0.4375376736914322,0.1610466536047931
AbDesign_6RP8_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,AbDesign,6RP8,6RP8_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,-0.0311986863711001,0.4266666666666666,-0.12,0.7768976358001789,0.1215850815850815
AbDesign_7BEJ_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,AbDesign,7BEJ,7BEJ_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,-0.013903743315508,0.6083333333333334,-0.1333333333333333,0.4096456510581877,0.1728354978354978
1MHP_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,BindingGYM,1MHP,1MHP_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,0.3890888692992117,0.3197278911564626,-0.1111111111111111,0.7208825019985299,0.0794387138583078
2BDN_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,BindingGYM,2BDN,2BDN_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,0.1118881118881118,0.4,-0.2,0.3333333333333333,0.2159090909090909
3SE9_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,BindingGYM,3SE9,3SE9_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,0.0173176861641546,0.6969696969696969,0.2424242424242424,0.6545571212154389,0.4653679653679654
AbDesign_6XKR_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,AbDesign,6XKR,6XKR_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,-0.1843853820598006,0.2368421052631578,-0.131578947368421,0.4521647432075471,0.0880211396239864
1BJ1_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,BindingGYM,1BJ1,1BJ1_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,-0.083979883004578,0.544496487119438,0.0265061523502031,0.2826164408350692,0.1338344847508381
AbDesign_1BVK_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,AbDesign,1BVK,1BVK_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,0.1044972097603676,0.3823529411764705,-0.1176470588235294,0.6379605178015859,0.1005050505050505
1MLC_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,BindingGYM,1MLC,1MLC_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,-0.1654709223980216,0.5277777777777778,-0.125,0.4314286913135948,0.1596398770311813
3HFM_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,BindingGYM,3HFM,3HFM_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,-0.274531886692433,0.365,-0.125,0.3551494203108251,0.1117852257181942
3NGB_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,BindingGYM,3NGB,3NGB_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,-0.2198392298751013,0.3076923076923076,-0.1538461538461538,0.3333333333333333,0.1388888888888889
AbDesign_5GGS_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,AbDesign,5GGS,5GGS_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,0.0538461538461538,0.6148148148148148,0.0555555555555555,0.3824212928203011,0.1687726942628903
AbDesign_5GGV_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,AbDesign,5GGV,5GGV_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,-0.0182235674772988,0.387409200968523,-0.1186440677966101,0.573113176357301,0.0947803019936219
1DQJ_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,BindingGYM,1DQJ,1DQJ_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,-0.2253663024528764,0.6749999999999999,0.5034965460952284,0.6604239519986219,0.3833333333333333
AbDesign_5GGV_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,AbDesign,5GGV,5GGV_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,0.0320425842813902,0.3583535108958837,-0.1186440677966101,0.5516060730142976,0.0914341870675368
AbDesign_6MFP_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,AbDesign,6MFP,6MFP_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,-0.2543114543114543,0.1953125,-0.125,0.3863932120683778,0.0848550156739811
1BJ1_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,BindingGYM,1BJ1,1BJ1_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,-0.1877713838634178,0.4742388758782201,0.0444964871194379,0.4226424542289433,0.1477790948938251
1MHP_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,BindingGYM,1MHP,1MHP_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,0.4137581856310566,0.3696145124716553,-0.1111111111111111,0.7953206558882218,0.085502752469635
1MLC_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,BindingGYM,1MLC,1MLC_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,-0.2170660993081059,0.4583333333333333,-0.125,0.4314286913135948,0.1279220779220779
2NYY_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,BindingGYM,2NYY,2NYY_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,-0.0513209885760592,0.5,-0.1111111111111111,0.4843689748835509,0.1818181818181818
3BDY_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,BindingGYM,3BDY,3BDY_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,-0.1358104683579848,0.5625,0.15,0.3385653734429411,0.2053030303030303
3BDY_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,BindingGYM,3BDY,3BDY_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,-0.1000309764447146,0.5166666666666666,0.15,0.3240523467556972,0.1667884990253411
3SE9_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,BindingGYM,3SE9,3SE9_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,-0.0939003427567493,0.6212121212121211,0.2424242424242424,0.488300021641704,0.2804487179487179
AbDesign_5GGS_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,AbDesign,5GGS,5GGS_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,-0.0672398190045248,0.5111111111111111,0.0555555555555555,0.6341729941589436,0.2807870225938174
AbDesign_6NMS_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,AbDesign,6NMS,6NMS_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,-0.4082828997079883,0.5906976744186047,-0.1162790697674418,0.1595755796955848,0.1677906080481668
AbDesign_6RP8_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,AbDesign,6RP8,6RP8_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,-0.0859332238642583,0.5066666666666666,-0.12,0.7768976358001789,0.1439393939393939
AbDesign_7KF0_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,AbDesign,7KF0,7KF0_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,-0.3438867438867439,0.4609375,0.15625,0.2435396856121467,0.1769713261648745
AbDesign_1BVK_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,AbDesign,1BVK,1BVK_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,0.1861253966517124,0.5441176470588236,-0.1176470588235294,0.476521306044966,0.1332036019536019
1N8Z_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,BindingGYM,1N8Z,1N8Z_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,0.0181818181818181,0.4444444444444444,-0.1111111111111111,0.5,0.1666666666666666
2BDN_HL__hemantn__ablang2__542dd807__wt__fp16__focus1,BindingGYM,2BDN,2BDN_HL__hemantn__ablang2__542dd807__wt__fp16_,,ablang2,,1,wt,0.1748251748251748,0.6,0.4,1.0,0.6
4I77_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,BindingGYM,4I77,4I77_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,0.257530821633156,0.5555555555555556,-0.4472135954999579,0.3157894736842105,0.5425925925925925
1JRH_HL__hemantn__ablang2__542dd807__masked__fp16__focus1,BindingGYM,1JRH,1JRH_HL__hemantn__ablang2__542dd807__masked__fp16_,,ablang2,,1,masked,-0.0386303924126719,0.4705882352941176,-0.1176470588235294,0.0526315789473684,0.1394230769230769
