file_name,Dataset,PDB_ID,Antigen_name,Source,Model,Mutation,Type,Input_Type,Spearman,AUC,MCC,NDCG,AP
2NYY_HL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus0,BindingGYM,2NYY,2NYY_HL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,0,wt,-0.1343402348020375,0.3399999999999999,-0.502518907629606,0.822820598234847,0.4802564102564103
AbDesign_1BJ1_HLW__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus0,AbDesign,1BJ1,HLW__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,0,wt,0.2535463422314596,0.5449579831932773,0.0142857142857142,0.9708172712060016,0.6082462617514847
AbDesign_1BVK_ABC__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus0,AbDesign,1BVK,ABC__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,0,wt,,0.5,0.0,0.5484292654197982,0.5128205128205128
AbDesign_1DQJ_ABC__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus0,AbDesign,1DQJ,ABC__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,0,wt,0.0428932339115919,0.4636363636363636,-0.309344112444873,0.8845927690262203,0.6135794030530872
AbDesign_1JRH_HIL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus0,AbDesign,1JRH,HIL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,0,wt,0.321915660970615,0.67,0.2,0.8661517357806947,0.659126559714795
AbDesign_7BEJ_EHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus0,AbDesign,7BEJ,EHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,0,wt,0.0414565826330532,0.5424836601307189,0.0849673202614379,0.9697414105472362,0.5374597554013527
AbDesign_7JMO_AHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus0,AbDesign,7JMO,AHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,0,wt,0.4495035630160548,0.6672043010752687,0.2129032258064516,0.9186232905473942,0.6760540043716656
AbDesign_7KF0_HLV__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus0,AbDesign,7KF0,HLV__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,0,wt,-0.0647226173541963,0.4941520467836257,-0.0818713450292397,0.9624055107559631,0.5236199435435078
ABBind_1DQJ_CHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus0,ABBind,1DQJ,CHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,0,wt,-0.0785304229432125,0.5098039215686274,-0.0294117647058823,0.8136882343427091,0.5151235146236659
ABBind_1DVF_ABCD__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus0,ABBind,1DVF,ABCD__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,0,wt,0.2141147879571654,0.62,0.2,0.9044957437783082,0.6746403010448312
ABBind_1MLC_EHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus0,ABBind,1MLC,EHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,0,wt,-0.2534902914580292,0.4387755102040817,-0.2857142857142857,0.8038015978386996,0.4875347094666172
ABBind_1VFB_CHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus0,ABBind,1VFB,CHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,0,wt,0.0904350881807801,0.4807692307692308,-0.0716114874039432,0.91022327257699,0.4936979995347132
ABBind_2JEL_HLP__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus0,ABBind,2JEL,HLP__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,0,wt,-0.0504878828420553,0.4594017094017094,0.0,0.9127775945329268,0.5771306545630432
ABBind_3HFM_HLY__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus0,ABBind,3HFM,HLY__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,0,wt,0.5157384616014006,0.7616666666666667,0.3466666666666667,0.9109547128579738,0.7749858196305066
ABBind_HM_1YY9_AHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus0,ABBind,1YY9,AHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,0,wt,0.0208461106012216,0.5416666666666666,0.2916666666666667,0.7789486102714335,0.5769452225334579
