file_name,Dataset,PDB_ID,Antigen_name,Source,Model,Mutation,Type,Input_Type,Spearman,AUC,MCC,NDCG,AP
AbDesign_1MHP_AHL__AI4Protein__VenusPLM-300M__40ebdfbd__wt__fp16__focus0,AbDesign,1MHP,AHL__AI4Protein__VenusPLM-300M__40ebdfbd__wt__fp16_,,VenusPLM-300M,,0,wt,-0.0379999891067907,0.3372274143302181,-0.0194704049844236,0.7034760576288372,0.1291203394351114
AbDesign_1N8Z_ABC__AI4Protein__VenusPLM-300M__40ebdfbd__masked__fp16__focus0,AbDesign,1N8Z,ABC__AI4Protein__VenusPLM-300M__40ebdfbd__masked__fp16_,,VenusPLM-300M,,0,masked,-0.0836057733121825,0.3805555555555556,-0.1388888888888889,0.4891317745526341,0.1217563837129054
AbDesign_1YY9_ACD__AI4Protein__VenusPLM-300M__40ebdfbd__masked__fp16__focus0,AbDesign,1YY9,ACD__AI4Protein__VenusPLM-300M__40ebdfbd__masked__fp16_,,VenusPLM-300M,,0,masked,0.1640736092965175,0.5175438596491229,-0.1578947368421052,0.6246198149485067,0.1981351981351981
AbDesign_2BDN_AHL__AI4Protein__VenusPLM-300M__40ebdfbd__wt__fp16__focus0,AbDesign,2BDN,AHL__AI4Protein__VenusPLM-300M__40ebdfbd__wt__fp16_,,VenusPLM-300M,,0,wt,0.0439560439560439,0.5454545454545454,-0.1818181818181818,0.6153846153846154,0.2261904761904761
AbDesign_2NYY_ACD__AI4Protein__VenusPLM-300M__40ebdfbd__wt__fp16__focus0,AbDesign,2NYY,ACD__AI4Protein__VenusPLM-300M__40ebdfbd__wt__fp16_,,VenusPLM-300M,,0,wt,-0.1726390226377046,0.3333333333333333,-0.1666666666666666,0.4743325709023835,0.1637426900584795
AbDesign_3SE9_GHL__AI4Protein__VenusPLM-300M__40ebdfbd__masked__fp16__focus0,AbDesign,3SE9,GHL__AI4Protein__VenusPLM-300M__40ebdfbd__masked__fp16_,,VenusPLM-300M,,0,masked,-0.2370852003267587,0.3768115942028985,-0.1304347826086956,0.283384093550232,0.1195887445887445
AbDesign_5F9W_GHL__AI4Protein__VenusPLM-300M__40ebdfbd__masked__fp16__focus0,AbDesign,5F9W,GHL__AI4Protein__VenusPLM-300M__40ebdfbd__masked__fp16_,,VenusPLM-300M,,0,masked,0.2717164190298674,0.6320754716981132,0.0723270440251572,0.7543791120004719,0.3399577572964669
AbDesign_5GGS_ABZ__AI4Protein__VenusPLM-300M__40ebdfbd__wt__fp16__focus0,AbDesign,5GGS,ABZ__AI4Protein__VenusPLM-300M__40ebdfbd__wt__fp16_,,VenusPLM-300M,,0,wt,-0.081362588576795,0.5978260869565217,0.0579710144927536,0.6422775627133672,0.2335710155832107
AbDesign_6MFP_GHL__AI4Protein__VenusPLM-300M__40ebdfbd__wt__fp16__focus0,AbDesign,6MFP,GHL__AI4Protein__VenusPLM-300M__40ebdfbd__wt__fp16_,,VenusPLM-300M,,0,wt,0.2425320056899004,0.3560606060606061,0.1590909090909091,0.8586191228623499,0.320446047008547
AbDesign_6MFP_GHL__AI4Protein__VenusPLM-300M__40ebdfbd__masked__fp16__focus0,AbDesign,6MFP,GHL__AI4Protein__VenusPLM-300M__40ebdfbd__masked__fp16_,,VenusPLM-300M,,0,masked,0.0573731626363205,0.3257575757575757,-0.1212121212121212,0.7178526207538013,0.0980497575374235
