file_name,Dataset,PDB_ID,Antigen_name,Source,Model,Mutation,Type,Input_Type,Spearman,AUC,MCC,NDCG,AP
2NYY_HL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus1,BindingGYM,2NYY,2NYY_HL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,1,wt,-0.1343402348020375,0.3399999999999999,-0.502518907629606,0.822820598234847,0.4802564102564103
AbDesign_1BJ1_HLW__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus1,AbDesign,1BJ1,HLW__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,1,wt,0.1677231955558564,0.5298319327731092,-0.0436974789915966,0.9647342337463084,0.6075791636582215
AbDesign_1DQJ_ABC__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus1,AbDesign,1DQJ,ABC__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,1,wt,0.0428932339115919,0.4636363636363636,-0.309344112444873,0.8845927690262203,0.6135794030530872
AbDesign_1JRH_HIL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus1,AbDesign,1JRH,HIL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,1,wt,0.028603706603079,0.5800000000000001,0.2,0.7432054440616248,0.5372759103641457
AbDesign_1MHP_AHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus1,AbDesign,1MHP,AHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,1,wt,-0.1173196359705496,0.4542114188807235,-0.0590562329312328,0.913376888419205,0.489232338637562
AbDesign_1VFB_ABC__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus1,AbDesign,1VFB,ABC__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,1,wt,0.0062979489503872,0.4912764003673095,0.2207553928441739,0.9464724702976444,0.5315257841573632
AbDesign_2BDN_AHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus1,AbDesign,2BDN,AHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,1,wt,0.1593406593406593,0.7380952380952381,0.3809523809523809,0.9260521948840548,0.8028138528138529
AbDesign_3BDY_HLV__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus1,AbDesign,3BDY,HLV__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,1,wt,-0.0394664478385213,0.5392156862745098,0.0849673202614379,0.7971204478981602,0.5226901663980472
AbDesign_3BE1_AHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus1,AbDesign,3BE1,AHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,1,wt,-0.0412777658718983,0.4233333333333333,-0.1485221314465011,0.8110109196966407,0.5075788073535499
AbDesign_3HFM_HLY__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus1,AbDesign,3HFM,HLY__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,1,wt,0.064034711684698,0.5244565217391304,-0.0217391304347826,0.8716790407052538,0.51971742775078
AbDesign_3N85_AHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32__focus1,AbDesign,3N85,AHL__AI4Protein__ProSST-4096__7ddc5500__wt__fp32_,,ProSST-4096,,1,wt,0.6443798763008685,0.76,0.2,0.9376287416000394,0.7595238095238095
