file_name,Dataset,PDB_ID,Antigen_name,Source,Model,Mutation,Type,Input_Type,Spearman,AUC,MCC,NDCG,AP
2NYY_HL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus0,BindingGYM,2NYY,2NYY_HL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,0,wt,-0.1886801050590414,0.4600000000000001,-0.1005037815259212,0.7976476005861597,0.5611111111111111
AbDesign_1BJ1_HLW__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus0,AbDesign,1BJ1,HLW__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,0,wt,0.2714127823714097,0.5567226890756303,0.1302521008403361,0.9686062381619254,0.5508836132437827
AbDesign_1BVK_ABC__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus0,AbDesign,1BVK,ABC__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,0,wt,,0.5,0.0,0.5484292654197982,0.5128205128205128
AbDesign_1DQJ_ABC__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus0,AbDesign,1DQJ,ABC__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,0,wt,-0.0414868983735069,0.3909090909090909,-0.309344112444873,0.8357294072592468,0.4923672818409661
AbDesign_1JRH_HIL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus0,AbDesign,1JRH,HIL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,0,wt,0.398198992954173,0.68,0.2,0.8734365215622348,0.6533982683982684
AbDesign_1MHP_AHL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus0,AbDesign,1MHP,AHL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,0,wt,0.0224517821283479,0.538439796495195,0.1254946297343131,0.948744763344028,0.6501369317994324
AbDesign_1VFB_ABC__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus0,AbDesign,1VFB,ABC__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,0,wt,0.1247377037359976,0.5500459136822773,0.3142696805273545,0.9457525198197172,0.55331088664422
AbDesign_1YY9_ACD__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus0,AbDesign,1YY9,ACD__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,0,wt,,0.5,0.0,0.9361741663454186,0.5
AbDesign_2BDN_AHL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus0,AbDesign,2BDN,AHL__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,0,wt,0.3351648351648351,0.8095238095238095,0.6904761904761905,0.9382776972717864,0.8395485466914037
AbDesign_2NYY_ACD__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus0,AbDesign,2NYY,ACD__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,0,wt,,0.5,0.0,0.8254677801677731,0.5238095238095238
AbDesign_2YSS_ABC__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus0,AbDesign,2YSS,ABC__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,0,wt,,0.5,0.0,0.960696313818585,0.5087719298245614
AbDesign_3BDY_HLV__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32__focus0,AbDesign,3BDY,HLV__AI4Protein__ProSST-2048__ed0b34f4__wt__fp32_,,ProSST-2048,,0,wt,0.2279503375157302,0.6274509803921569,0.1993464052287581,0.9155585000897036,0.6849709061514617
