file_name,Dataset,PDB_ID,Antigen_name,Source,Model,Mutation,Type,Input_Type,Spearman,AUC,MCC,NDCG,AP
AbDesign_2BDN_AHL__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16__focus0,AbDesign,2BDN,AHL__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16_,,SaProt_650M_AF2,,0,masked,-0.2802197802197803,0.409090909090909,-0.1818181818181818,0.6153846153846154,0.1833333333333333
AbDesign_3BE1_AHL__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16__focus0,AbDesign,3BE1,AHL__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16_,,SaProt_650M_AF2,,0,wt,0.0439453765915107,0.2933333333333333,-0.1466471150213532,0.7675802716569122,0.1236541889483066
AbDesign_3HFM_HLY__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16__focus0,AbDesign,3HFM,HLY__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16_,,SaProt_650M_AF2,,0,wt,0.3810267803677558,0.7714285714285715,0.5523809523809524,0.927875192663117,0.6689655172413793
AbDesign_3SE8_GHL__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16__focus0,AbDesign,3SE8,GHL__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16_,,SaProt_650M_AF2,,0,wt,0.0802780852631209,0.7435897435897436,0.2970140370712101,0.6487402408041761,0.2254901960784313
AbDesign_5F9W_GHL__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16__focus0,AbDesign,5F9W,GHL__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16_,,SaProt_650M_AF2,,0,wt,0.3276446522501461,0.8113207547169812,0.4433962264150943,0.7417083754130489,0.5254204576785222
AbDesign_5GGV_HLY__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16__focus0,AbDesign,5GGV,HLY__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16_,,SaProt_650M_AF2,,0,wt,0.2278137502482909,0.3880952380952381,-0.1166666666666666,0.5988472141917198,0.0936301240287951
AbDesign_6NMS_HLS__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16__focus0,AbDesign,6NMS,HLS__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16_,,SaProt_650M_AF2,,0,masked,-0.3740082160098451,0.4022727272727272,-0.1136363636363636,0.2366895848191422,0.1033040027605244
AbDesign_6NMU_HLS__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16__focus0,AbDesign,6NMU,HLS__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16_,,SaProt_650M_AF2,,0,masked,0.3174906042208731,0.4476190476190476,-0.119047619047619,0.6712209067463353,0.1163440056487513
AbDesign_7KF0_HLV__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16__focus0,AbDesign,7KF0,HLV__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16_,,SaProt_650M_AF2,,0,masked,0.0467045993361782,0.5227272727272727,-0.1212121212121212,0.7175454332392505,0.1335273279352226
AbDesign_1BJ1_HLW__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16__focus0,AbDesign,1BJ1,HLW__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16_,,SaProt_650M_AF2,,0,masked,-0.2890366666744995,0.3559907834101382,0.0460829493087557,0.633779266940131,0.1208569056369878
AbDesign_3N85_AHL__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16__focus0,AbDesign,3N85,AHL__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16_,,SaProt_650M_AF2,,0,wt,0.3829804925184407,0.8125,-0.1666666666666666,0.4210526315789473,0.5
AbDesign_3NGB_GHL__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16__focus0,AbDesign,3NGB,GHL__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16_,,SaProt_650M_AF2,,0,wt,0.1450405200803515,0.4858156028368793,0.1320988539225567,0.3786241728104945,0.1508714596949891
AbDesign_6XKR_HLP__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16__focus0,AbDesign,6XKR,HLP__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16_,,SaProt_650M_AF2,,0,masked,-0.0707540521494009,0.3333333333333333,-0.1282051282051282,0.2827133618019504,0.0973223717788935
AbDesign_3NGB_GHL__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16__focus0,AbDesign,3NGB,GHL__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16_,,SaProt_650M_AF2,,0,masked,0.1405534805795379,0.3510638297872341,0.0602836879432624,0.4178922188380142,0.1244469582704876
AbDesign_5GGV_HLY__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16__focus0,AbDesign,5GGV,HLY__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16_,,SaProt_650M_AF2,,0,masked,0.1936346403657967,0.4666666666666666,-0.1166666666666666,0.5768773322776312,0.1103393338502956
AbDesign_6NMU_HLS__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16__focus0,AbDesign,6NMU,HLS__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16_,,SaProt_650M_AF2,,0,wt,0.3577809258238151,0.4619047619047619,-0.119047619047619,0.6489238364056792,0.115514690982776
AbDesign_6RP8_CHL__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16__focus0,AbDesign,6RP8,CHL__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16_,,SaProt_650M_AF2,,0,wt,-0.0729064039408866,0.2051282051282051,-0.1153846153846153,0.5196397296731053,0.0853599516031458
AbDesign_7BEJ_EHL__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16__focus0,AbDesign,7BEJ,EHL__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16_,,SaProt_650M_AF2,,0,masked,0.3977591036414566,0.5725806451612903,0.1532258064516129,0.8200049394150157,0.2348440545808967
AbDesign_3BE1_AHL__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16__focus0,AbDesign,3BE1,AHL__westlake-repl__SaProt_650M_AF2__ca2014a8__masked__fp16_,,SaProt_650M_AF2,,0,masked,-0.0185328744730972,0.28,-0.1466471150213532,0.6261130965917681,0.1188562091503268
AbDesign_7BEJ_EHL__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16__focus0,AbDesign,7BEJ,EHL__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16_,,SaProt_650M_AF2,,0,wt,0.4750700280112045,0.6532258064516129,0.1532258064516129,0.8679819466696693,0.2809954382535027
AbDesign_7KF0_HLV__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16__focus0,AbDesign,7KF0,HLV__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16_,,SaProt_650M_AF2,,0,wt,0.0365101944049312,0.553030303030303,-0.1212121212121212,0.7938635830981263,0.1469444444444444
AbDesign_1BJ1_HLW__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16__focus0,AbDesign,1BJ1,HLW__westlake-repl__SaProt_650M_AF2__ca2014a8__wt__fp16_,,SaProt_650M_AF2,,0,wt,-0.2615478767726643,0.3513824884792627,0.0460829493087557,0.6650285622766772,0.108969960366716
