file_name,Dataset,PDB_ID,Antigen_name,Source,Model,Mutation,Type,Input_Type,Spearman,AUC,MCC,NDCG,AP
2NYY_HL__AI4Protein__ProSST-1024__16fc159c__wt__fp32__focus0,BindingGYM,2NYY,2NYY_HL__AI4Protein__ProSST-1024__16fc159c__wt__fp32_,,ProSST-1024,,0,wt,0.4747191443285481,0.6599999999999999,0.2,0.8807677615981705,0.6183974358974358
AbDesign_1BJ1_HLW__AI4Protein__ProSST-1024__16fc159c__wt__fp32__focus0,AbDesign,1BJ1,HLW__AI4Protein__ProSST-1024__16fc159c__wt__fp32_,,ProSST-1024,,0,wt,-0.0980827373327117,0.3592436974789915,-0.2756302521008403,0.9397639123081398,0.4230096970288006
AbDesign_1BVK_ABC__AI4Protein__ProSST-1024__16fc159c__wt__fp32__focus0,AbDesign,1BVK,ABC__AI4Protein__ProSST-1024__16fc159c__wt__fp32_,,ProSST-1024,,0,wt,,0.5,0.0,0.5484292654197982,0.5128205128205128
AbDesign_1DQJ_ABC__AI4Protein__ProSST-1024__16fc159c__wt__fp32__focus0,AbDesign,1DQJ,ABC__AI4Protein__ProSST-1024__16fc159c__wt__fp32_,,ProSST-1024,,0,wt,0.0077348454594674,0.5181818181818182,0.023124864503144,0.8344725611367788,0.5480010185892539
AbDesign_1JRH_HIL__AI4Protein__ProSST-1024__16fc159c__wt__fp32__focus0,AbDesign,1JRH,HIL__AI4Protein__ProSST-1024__16fc159c__wt__fp32_,,ProSST-1024,,0,wt,0.3341209940879842,0.73,0.502518907629606,0.8735555265337316,0.7738502673796791
AbDesign_1MHP_AHL__AI4Protein__ProSST-1024__16fc159c__wt__fp32__focus0,AbDesign,1MHP,AHL__AI4Protein__ProSST-1024__16fc159c__wt__fp32_,,ProSST-1024,,0,wt,0.0084020255700396,0.5494629734313171,0.0081944055263433,0.941781971488076,0.5692737893529659
AbDesign_1MLC_ABE__AI4Protein__ProSST-1024__16fc159c__wt__fp32__focus0,AbDesign,1MLC,ABE__AI4Protein__ProSST-1024__16fc159c__wt__fp32_,,ProSST-1024,,0,wt,0.5550711864440987,0.7272727272727272,0.3223291856101521,0.9252235358889852,0.7142857142857143
AbDesign_1N8Z_ABC__AI4Protein__ProSST-1024__16fc159c__wt__fp32__focus0,AbDesign,1N8Z,ABC__AI4Protein__ProSST-1024__16fc159c__wt__fp32_,,ProSST-1024,,0,wt,-0.1528268202463565,0.4238095238095237,-0.1714285714285714,0.8970136156598527,0.5087018694942427
AbDesign_1VFB_ABC__AI4Protein__ProSST-1024__16fc159c__wt__fp32__focus0,AbDesign,1VFB,ABC__AI4Protein__ProSST-1024__16fc159c__wt__fp32_,,ProSST-1024,,0,wt,0.0765811435107929,0.5224977043158863,0.2845904698636096,0.940406462139327,0.5414797323888233
AbDesign_1YY9_ACD__AI4Protein__ProSST-1024__16fc159c__wt__fp32__focus0,AbDesign,1YY9,ACD__AI4Protein__ProSST-1024__16fc159c__wt__fp32_,,ProSST-1024,,0,wt,,0.5,0.0,0.9361741663454186,0.5
